"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Comparative Analysis of Generative AI and Student Solutions in Java Programming Assignments","H. H. Sandi Kyaw; T. Hata; N. Funabiki","Department of Information and Communication Systems, Okayama University, Okayama, Japan; Department of Information and Communication Systems, Okayama University, Okayama, Japan; Department of Information and Communication Systems, Okayama University, Okayama, Japan",2025 IEEE International Symposium on Consumer Technology (ISCT),"23 Dec 2025","2025","","","311","316","Currently, Java serves as the core object-oriented programming language that is essential for students studying ICT. To support learners in acquiring Java programming skills, we have developed the Java Programming Learning Assistant System (JPLAS). In JPLAS, Code Writing Problem (CWP) is designed for the students to write the source code from scratch by following the test code and problem statement. However, with the advancement of generative AI, it has become possible for students to generate answer code from the given test code and problem statement. To address this issue, this study investigates the impact of generative AI in solving CWP by generating 54 sample codes from three major generative AIs. Then, these generated codes were compared with students’ codes using the code plagiarism checking program. The average similarity is found to be 38.17%, and the analysis showed that simpler problems tend to produce higher similarity scores. In addition, different coding styles were observed for each AI, with certain prompt patterns resulting in higher similarity.","2159-1423","979-8-3315-6549-7","10.1109/ISCT66099.2025.11297232","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11297232","Java;programming learning;generative AI;code writing problem;automated assessment tool","Java;Codes;Generative AI;Source coding;Plagiarism;Programming;Writing;Chatbots;Object oriented programming;Programming profession","","","","9","IEEE","23 Dec 2025","16-18 Sept. 2025","16-18 Sept. 2025","IEEE","IEEE Conferences"
"Evaluating Generative AI for CS1 Code Grading: Direct Vs Reverse Methods","A. Memon; A. Mohamed","University of British Columbia Okanagan , BSc (Honours) Computer Science; University of British Columbia Okanagan",2025 IEEE International Conference on Collaborative Advances in Software and COmputiNg (CASCON),"23 Jan 2026","2025","","","178","183","Manual grading of programming assignments in introductory computer science courses can be time-consuming and prone to inconsistencies. While unit testing is commonly used for automatic evaluation, it typically follows a binary pass/fail model and does not give partial marks. Recent advances in large language models (LLMs) offer the potential for automated, scalable, and more objective grading. This paper compares two AI-based grading techniques: Direct, where the AI model applies a rubric directly to student code, and Reverse (a newly proposed approach), where the AI first fixes errors, then deduces a grade based on the nature and number of fixes. Each method was evaluated on both the instructor's original grading scale and a tenfold expanded scale to assess the impact of range on AI grading accuracy. To assess their effectiveness, AIassigned scores were evaluated against human tutor evaluations on a range of coding problems and error types. Initial findings suggest that while the Direct approach is faster and straightforward, the Reverse technique often provides a more fine-grained assessment by focusing on correction effort. Both methods require careful prompt engineering, particularly for allocating partial credit and handling logic errors. To further test consistency, we also used synthetic student code generated using Gemini Flash 2.0, which allowed us to evaluate AI graders on a wider range of controlled error types and difficulty levels. We discuss the strengths and limitations of each approach, practical considerations for prompt design, and future directions for hybrid human-AI grading systems that aim to improve consistency, efficiency, and fairness in CS courses.","","979-8-3315-9948-5","10.1109/CASCON66301.2025.00040","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11344362","Artificial Intelligence;Automated Grading;Code Assessment;Generative AI;Rubric-Based Evaluation;AI vs Human Grading;LLMs;Prompt Engineering","Codes;Large language models;Manuals;Programming;Software;Prompt engineering;Logic;Standards;Testing;Synthetic data","","1","","6","IEEE","23 Jan 2026","10-13 Nov. 2025","10-13 Nov. 2025","IEEE","IEEE Conferences"
"Feedback-Integrated Short Answer Grading with Data Augmentation and Large Language Models","B. Zhu; Z. Chen; S. Liu","School of Artificial Intelligence, South China Normal University, Foshan, China; School of Artificial Intelligence, South China Normal University, Foshan, China; School of Artificial Intelligence, South China Normal University, Foshan, China",2025 IEEE International Conference on Big Data (BigData),"6 Mar 2026","2025","","","1895","1902","Automatic Short Answer Grading (ASAG) is a critical task in educational assessment, yet existing approaches predominantly focus on score prediction without providing explanatory feedback to learners. Feedback-Integrated Short Answer Grading (FSAG) addresses this gap by predicting both scores and detailed, content-based feedback, but publicly available feedbackannotated datasets are extremely scarce, with only a few smallscale resources existing. To overcome this limitation, we propose a Data Augmentation framework, Feedback-Data-Amplifier, which generates large-scale, feedback-rich training data, and introduce the Feedback-Integrated Short Answer Grading Model, an LLM-based architecture adapted to jointly score and generate feedback. Our approach leverages large language models to enhance grading accuracy and feedback relevance, a direction rarely explored in prior FSAG research. Experimental results demonstrate that FSAG achieves substantial improvements over baselines in both scoring performance (82.5 Acc./ 80.3 F1) and feedback quality (41.2 BLEU/ 52.6 MET./ 44.8 ROU./ 63.1 BERT), validating the effectiveness of our data augmentation and LLM adaptation strategies.","2573-2978","979-8-3315-9447-3","10.1109/BigData66926.2025.11402058","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11402058","automatic short answer grading;large language models;data augmentation;natural language processing","Adaptation models;Accuracy;Protocols;Large language models;Scalability;Training data;Pressing;Data augmentation;Natural language processing;Multilingual","","","","36","IEEE","6 Mar 2026","8-11 Dec. 2025","8-11 Dec. 2025","IEEE","IEEE Conferences"
"WIP: How Effective are Llm-Implemented Autograders for Programming Assignments Compared to Human Graders?","K. Lewis; H. Chen","Department of Computer Science, CUNY Graduate Center, New York, NY, USA; Department of Computer & Information Science, CUNY Brooklyn College, Brooklyn, NY",2025 IEEE Frontiers in Education Conference (FIE),"13 Jan 2026","2025","","","1","5","This research-to-practice WIP paper describes the development and evaluation of a generative Large Language Model (gLLM)-based autograder for computer programming assignments. Manual grading is becoming increasingly unsustainable due to growing student enrollment and the demand for timely, high-quality feedback. To address these challenges, this study explores the use of automated grading tools to reduce instructors' workload and improve scalability. The proposed autograder takes a “reverse-engineering” approach, i.e., it converts student code into structured natural language summaries, which are then compared against predefined grading rubrics. An evaluation is performed using an external dataset (the Menagerie dataset), which contains real student submissions graded by four human graders. The objective is to assess the alignment between grades assigned by the autograder and those assigned by human graders. Findings indicate that the autograder closely matches human grading when letter grades are considered, though it performs less accurately with fine-grained numerical scores. While not yet a complete substitute for human assessment, the autograder shows strong potential as a scalable, efficient tool for supporting grading in programming education.","2377-634X","979-8-3315-0105-1","10.1109/FIE63693.2025.11328152","National Science Foundation(grant numbers:2235976); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11328152","Grades;Grading Systems;Automated Grading;Student Assessment;Computing Skills","Codes;Scalability;Large language models;Natural languages;Manuals;Programming profession","","1","","42","IEEE","13 Jan 2026","2-5 Nov. 2025","2-5 Nov. 2025","IEEE","IEEE Conferences"
"Comparative Study of Language Models and Prompt Paradigms in Short Answer Grading","A. Al Zubaer; S. Geschwind; D. Voss; L. Wendlinger; J. G. Lambsdorff; M. Granitzer; J. Mitrović","University of Passau, Germany; University of Passau, Germany; University of Passau, Germany; University of Passau, Germany; University of Passau, Germany; University of Passau, Germany; University of Passau, Germany",2025 IEEE 37th International Conference on Tools with Artificial Intelligence (ICTAI),"15 Dec 2025","2025","","","321","329","Grades deliver important quantitative feedback on student learning, but grading can be time-consuming for large student cohorts. Recent advances in large language models (LLMs) offer promising opportunities for automating this process. Still, a systematic examination of different models and prompting paradigms remains lacking. To fill this gap, we compare the performance of 23 closed-source and open-source LLMs, testing the best-performing six across five different prompt paradigms including zero-shot, pre-written sample solutions with an integrated grading rubric, few-shot examples, and retrievalaugmented generation (RAG) based on textbook excerpts. We hence investigate the extent to which external information is necessary for reliable grading outcomes. As a benchmark, we include four fine-tuned encoder models. Our study focuses on German-language undergraduate economics courses, using an open macroeconomics (Macro) and a novel institutional economics (Insti) dataset graded by three human examiners. LLMhuman agreement reaches Quadratic Weighted Kappas of up to 0.811 for Macro and 0.687 for Insti, with the best LLM-prompt combinations nearing fine-tuned encoder model performance for Macro. Providing a sample solution with a grading rubric emerges as a crucial prompting feature, as it enables near-human performance even in zero-shot setups, particularly for easier-to-grade answers. Adding few-shot examples further improves grading for difficult answers. Few-shot examples without a sample solution, RAG, or relying solely on LLMs' inherent knowledge, on the other hand, perform significantly worse.","2375-0197","979-8-3315-4919-0","10.1109/ICTAI66417.2025.00049","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11272818","Automated Short Answer Grading;Higher Education;Large Language Models;Prompt Paradigms;Encoders","Hands;Systematics;Biological system modeling;Large language models;Benchmark testing;Macroeconomics;Reliability","","","","49","IEEE","15 Dec 2025","3-5 Nov. 2025","3-5 Nov. 2025","IEEE","IEEE Conferences"
"RUBRA: An Agentic AI System for Automatic Short Answer Grading Using LLMs and RAG","S. Haldar; S. Sengupta; A. K. Das","Department of Computer Science and Technology, Indian Institute of Engineering Science and Technology, Howrah, West Bengal, India; Department of Computer Science and Engineering, Aliah University, Kolkata, West Bengal, India; Department of Computer Science and Technology, Indian Institute of Engineering Science and Technology, Howrah, West Bengal, India","2025 International Conference on Computing, Intelligence, and Application (CIACON)","9 Oct 2025","2025","","","1","6","The proliferation of deep Learning applications in natural language processing has facilitated automated evaluation of short-answer questions, providing more transparent, interpretable and unbiased evaluation of students’ responses. In this work, we introduce RUBRA, an agentic AI system for Automatic Short Answer Grading (ASAG) using Large Language Models (LLM) and Retrieval-Augmented Generation (RAG) techniques. The system incorporates domain-specific context information retrieved from textbooks and study materials through a RAG framework and a dynamically generated rubric from reference answers provided by human tutors. Then, by aligning student responses with the rubric via semantic similarity scoring, the system computes an explainable and fair grade and provides transparent feedback to the learner. We discuss the architecture, components, and potential effectiveness of the proposed agentic AI system and tested our results over the SCIENTSBANK dataset. It is observed that the proposed approach not only outperformed the existing approaches in prediction accuracy but also significantly improved the autonomy and adaptability of the system.","","979-8-3315-4411-9","10.1109/CIACON65473.2025.11189329","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11189329","Agentic AI;LLM;RAG;NLP;ASAG","Deep learning;Accuracy;Large language models;Semantics;Retrieval augmented generation;Computer architecture;Natural language processing;Mathematical models;Intelligent systems;Context modeling","","","","16","IEEE","9 Oct 2025","18-19 July 2025","18-19 July 2025","IEEE","IEEE Conferences"
"Enhancing Automatic Grading of SQL Query Assignments Using Generative AI : A Case Study on SPJ Query Assignment","Y. Tsuboi; T. Kakeshita","Faculty of Science and Engineering, Saga University, Saga, Japan; Faculty of Science and Engineering, Saga University, Saga, Japan",2025 10th International Conference on Intelligent Informatics and Biomedical Sciences (ICIIBMS),"2 Jan 2026","2025","10","","207","212","The grading of SQL query assignments is a timeconsuming task for instructors, especially in large classes where ensuring both accuracy and consistency is difficult. To address this issue, we developed and evaluated an automatic grading tool for SQL query design using generative AI in this paper. The system targets SPJ (Selection, Projection, Join) query tasks from the Information Systems Experiment course. By incorporating model answers, lecture materials, and common student errors into carefully designed prompts, the tool aimed to improve grading accuracy and feedback quality. Comparative experiments were conducted with different prompt configurations as well as with an existing rubric-based tool developed by Ando et al. The results demonstrated that the optimized GPT-based prompt design achieved 96.8% accuracy (387 out of 400 items correctly graded), while also providing detailed feedback that specified “what was wrong,” “why,” and “how to fix it.” This feedback was found to support student learning and reduce grading inconsistencies for instructors. The findings confirm the potential of GPT-based systems as effective complements to existing rubric-based methods. This research highlights the promise of generative AI in delivering scalable, fair, and pedagogically meaningful assessments in database education.","2189-8723","979-8-3315-0166-2","10.1109/ICIIBMS66230.2025.11316731","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11316731","Generative AI;GPT;automatic grading;SQL query design;educational technology;prompt engineering","Hands;Visualization;Accuracy;Generative AI;Databases;Aggregates;Educational technology;Prompt engineering;Informatics","","","","10","IEEE","2 Jan 2026","2-5 Dec. 2025","2-5 Dec. 2025","IEEE","IEEE Conferences"
"A Comparative Study of Automated Grading on Programming Assignments Based on LLMs","L. Wu-Ja; W. Hui-Lin; Z. Yu-Guang","Computer Science and Information Engineering, National Formosa University, Hu-Wei Township, Taiwan; Computer Science and Information Engineering, National Formosa University, Hu-Wei Township, Taiwan; Computer Science and Information Engineering, National Formosa University, Hu-Wei Township, Taiwan",2025 IEEE International Conference on Consumer Electronics - Taiwan (ICCE-Taiwan),"27 Oct 2025","2025","","","429","430","Programming is a required course for undergraduate students in many fields, and instructors face the challenge of assessing a large amount of assignments each week, making it difficult to provide timely feedback to students. To address this issue, numerous studies have proposed to grade programming assignments in an automatic way. This paper applies three widely used large language models, Gemini, Mistral, and ChatGPT, to grade programming assignments and evaluates their performances. The results not only show the strengths/weakness of applying LLM, compared to traditional approaches, in automatic grading, but also presents the differences among the LLMs.","2575-8284","979-8-3315-8741-3","10.1109/ICCE-Taiwan66881.2025.11208057","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11208057","automatic grading;large language models (LLM);programming assignments;Gemini;Mistral;ChatGPT;timly feedback","Large language models;Programming;Chatbots;Faces;Consumer electronics","","","","5","IEEE","27 Oct 2025","16-18 July 2025","16-18 July 2025","IEEE","IEEE Conferences"
"WIP: CodeInspector: Automated LLM-Supported CS1-Level Code Assessment","E. Imhmed; E. Ceh-Varela; L. Scherer; G. Candal; I. Sanjaya","Department of Mathematical Sciences, Eastern New Mexico University, Portales, NM, USA; Department of Mathematical Sciences, Eastern New Mexico University, Portales, NM, USA; Department of Mathematical Sciences, Eastern New Mexico University, Portales, NM, USA; Department of Mathematical Sciences, Eastern New Mexico University, Portales, NM, USA; Department of Mathematical Sciences, Eastern New Mexico University, Portales, NM, USA",2025 IEEE Frontiers in Education Conference (FIE),"13 Jan 2026","2025","","","1","5","This research-to-practice WIP paper presents CodeInspector—an automated assessment system for CS1-level Java assignments. Designed for scalability and modularity, CodeInspector streamlines and standardizes code assessment, promoting a more equitable learning environment. Our preliminary findings suggest that CodeInspector is promising. It reduces instructors' assessment workload while providing students with immediate, formative feedback that supports an iterative learning process. Additionally, CodeInspector offers students insights into their performance through error-weighted densities benchmarked against class-wide averages.","2377-634X","979-8-3315-0105-1","10.1109/FIE63693.2025.11328429","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11328429","automated assessment;feedback;code quality;software testing and automation;large language models","Software testing;Java;Codes;Automation;Scalability;Large language models;Benchmark testing;Iterative methods","","","","28","IEEE","13 Jan 2026","2-5 Nov. 2025","2-5 Nov. 2025","IEEE","IEEE Conferences"
"AI-Driven Evaluation of SQL Tests: A Generative Large Language Model Approach","M. Kubovčík; I. D. Luptáková; J. Pospíchal","Institute of Computer Technologies and Informatics Faculty of Natural Sciences, University of Ss. Cyril and Methodius, Trnava, Slovakia; Institute of Computer Technologies and Informatics Faculty of Natural Sciences, University of Ss. Cyril and Methodius, Trnava, Slovakia; Institute of Computer Technologies and Informatics Faculty of Natural Sciences, University of Ss. Cyril and Methodius, Trnava, Slovakia",2025 International Conference on Emerging eLearning Technologies and Applications (ICETA),"15 Dec 2025","2025","","","495","499","Artificial intelligence is increasingly being integrated into educational processes, making automated evaluation a critical element of modern teaching. One important area of application is the assessment of SQL tests, where both the syntactic correctness and logical validity of queries must be considered. When evaluating SQL tasks, it is essential to combine multiple levels of assessment, ranging from basic syntax checks to advanced evaluations of query logic and semantics. The proposed system enables the automated analysis of student responses, evaluation of correctness, and provision of personalized feedback with explanations of errors. The methodology is based on advanced open-source generative language models that can understand complex SQL commands and assign scores according to predefined criteria. The emphasis is placed on accuracy, reliability, and transparency of evaluation, while enabling a detailed comparison between teacher assessment and AI-based assessment. The modularity of the system allows for adaptation to different evaluation tasks and educational contexts. Experimental deployment in real teaching conditions provides an opportunity to measure the system’s impact on educational quality, assessment efficiency, and user satisfaction. The results provide a comprehensive analysis of how generative AI models can enhance traditional evaluation methods in SQL education.","","979-8-3315-7426-0","10.1109/ICETA67772.2025.11280179","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11280179","generative artificial intelligence;SQL language;automated test assessment;large language models;natural language processing;explainable artificial intelligence","Structured Query Language;Adaptation models;Accuracy;Generative AI;Large language models;Education;Semantics;Syntactics;Quality assessment;Reliability","","","","10","IEEE","15 Dec 2025","13-14 Nov. 2025","13-14 Nov. 2025","IEEE","IEEE Conferences"
