title,authors,year,venue,doi,abstract,keywords,cited_by,sources,in_slr,cutoff_flag,merge_uncertain,n_merged,relevance,reason,theme,perf,perf_dataset
A Comparative Analysis of Generative AI and Student Solutions in Java Programming Assignments,H. H. Sandi Kyaw; T. Hata; N. Funabiki,2025,Digest of Technical Papers - IEEE International Conference on Consumer Electronics,10.1109/isct66099.2025.11297232,"Currently, Java serves as the core object-oriented programming language that is essential for students studying ICT. To support learners in acquiring Java programming skills, we have developed the Java Programming Learning Assistant System (JPLAS). In JPLAS, Code Writing Problem (CWP) is designed for the students to write the source code from scratch by following the test code and problem statement. However, with the advancement of generative AI, it has become possible for students to generate answer code from the given test code and problem statement. To address this issue, this study investigates the impact of generative AI in solving CWP by generating 54 sample codes from three major generative AIs. Then, these generated codes were compared with students’ codes using the code plagiarism checking program. The average similarity is found to be 38. 17%, and the analysis showed that simpler problems tend to produce higher similarity scores. In addition, different coding styles were observed for each AI, with certain prompt patterns resulting in higher similarity. ©2025 IEEE.",automated assessment tool; code writing problem; generative AI; Java; programming learning; Artificial intelligence; Codes (symbols); Computer systems programming; Education computing; Information systems; Information use; Learning systems; Object oriented programming; Software testing; Students; Assessment tool; Automated assessment; Automated assessment tool; Code writing problem; Code-writing; Generative AI; Java; Java programming; Learning assistant; Programming learning; Java programming language,,ieee; scopus,False,overlap_2025,False,2,med,grading+edu in abstract; grading not central / no benchmark,code,,
Evaluating Generative AI for CS1 Code Grading: Direct Vs Reverse Methods,A. Memon; A. Mohamed,2025,"Proceedings - 2025 IEEE International Conference on Collaborative Advances in Software and Computing, CASCON 2025",10.1109/cascon66301.2025.00040,"Manual grading of programming assignments in introductory computer science courses can be time-consuming and prone to inconsistencies. While unit testing is commonly used for automatic evaluation, it typically follows a binary pass/fail model and does not give partial marks. Recent advances in large language models (LLMs) offer the potential for automated, scalable, and more objective grading. This paper compares two AI-based grading techniques: Direct, where the AI model applies a rubric directly to student code, and Reverse (a newly proposed approach), where the AI first fixes errors, then deduces a grade based on the nature and number of fixes. Each method was evaluated on both the instructor's original grading scale and a tenfold expanded scale to assess the impact of range on AI grading accuracy. To assess their effectiveness, AIassigned scores were evaluated against human tutor evaluations on a range of coding problems and error types. Initial findings suggest that while the Direct approach is faster and straightforward, the Reverse technique often provides a more fine-grained assessment by focusing on correction effort. Both methods require careful prompt engineering, particularly for allocating partial credit and handling logic errors. To further test consistency, we also used synthetic student code generated using Gemini Flash 2.0, which allowed us to evaluate AI graders on a wider range of controlled error types and difficulty levels. We discuss the strengths and limitations of each approach, practical considerations for prompt design, and future directions for hybrid human-AI grading systems that aim to improve consistency, efficiency, and fairness in CS courses. © 2025 IEEE.",AI vs Human Grading; Artificial Intelligence; Automated Grading; Code Assessment; Generative AI; LLMs; Prompt Engineering; Rubric-Based Evaluation; Automatic test pattern generation; Codes (symbols); Coding errors; Computer aided instruction; Computer programming; Curricula; Education computing; Engineering education; Grading; Reverse engineering; Students; Teaching; AI vs human grading; Automated grading; Code assessment; Error types; Generative AI; Language model; Large language model; Programming assignments; Prompt engineering; Rubric-based evaluation; Artificial intelligence,1.0,ieee; scopus,False,overlap_2025,False,2,high,grading-focused (title) + edu,consistency,,
Feedback-Integrated Short Answer Grading with Data Augmentation and Large Language Models,B. Zhu; Z. Chen; S. Liu,2025,"Proceedings of the IEEE International Conference on Big Data, BigData",10.1109/bigdata66926.2025.11402058,"Automatic Short Answer Grading (ASAG) is a critical task in educational assessment, yet existing approaches predominantly focus on score prediction without providing explanatory feedback to learners. Feedback-Integrated Short Answer Grading (FSAG) addresses this gap by predicting both scores and detailed, content-based feedback, but publicly available feedbackannotated datasets are extremely scarce, with only a few smallscale resources existing. To overcome this limitation, we propose a Data Augmentation framework, Feedback-Data-Amplifier, which generates large-scale, feedback-rich training data, and introduce the Feedback-Integrated Short Answer Grading Model, an LLM-based architecture adapted to jointly score and generate feedback. Our approach leverages large language models to enhance grading accuracy and feedback relevance, a direction rarely explored in prior FSAG research. Experimental results demonstrate that FSAG achieves substantial improvements over baselines in both scoring performance (82.5 Acc./ 80.3 F1) and feedback quality (41.2 BLEU/ 52.6 MET./ 44.8 ROU./ 63.1 BERT), validating the effectiveness of our data augmentation and LLM adaptation strategies. © 2025 IEEE.",automatic short answer grading; data augmentation; large language models; natural language processing; Grading; Automatic short answer grading; Content-based; Critical tasks; Data augmentation; Educational assessment; Language model; Language processing; Large language model; Natural language processing; Natural languages; Feedback amplifiers,,ieee; scopus,False,overlap_2025,False,2,high,grading-focused (title) + edu,grading,,
WIP: How Effective are Llm-Implemented Autograders for Programming Assignments Compared to Human Graders?,K. Lewis; H. Chen,2025,"Proceedings - Frontiers in Education Conference, FIE",10.1109/fie63693.2025.11328152,"This research-to-practice WIP paper describes the development and evaluation of a generative Large Language Model (gLLM)-based autograder for computer programming assignments. Manual grading is becoming increasingly unsustainable due to growing student enrollment and the demand for timely, high-quality feedback. To address these challenges, this study explores the use of automated grading tools to reduce instructors' workload and improve scalability. The proposed autograder takes a 'reverse-engineering' approach, i.e., it converts student code into structured natural language summaries, which are then compared against predefined grading rubrics. An evaluation is performed using an external dataset (the Menagerie dataset), which contains real student submissions graded by four human graders. The objective is to assess the alignment between grades assigned by the autograder and those assigned by human graders. Findings indicate that the autograder closely matches human grading when letter grades are considered, though it performs less accurately with fine-grained numerical scores. While not yet a complete substitute for human assessment, the autograder shows strong potential as a scalable, efficient tool for supporting grading in programming education. © 2025 IEEE.",Automated Grading; Computing Skills; Grades; Grading Systems; Student Assessment; Computer programming; Education computing; Students; Automated grading; Computing skills; Grade; Grading system; High quality; Language model; Model-based OPC; Programming assignments; Student assessment; Student enrollments; Grading,1.0,ieee; scopus,False,overlap_2025,False,2,high,grading-focused (title) + edu,code,,
Comparative Study of Language Models and Prompt Paradigms in Short Answer Grading,A. Al Zubaer; S. Geschwind; D. Voss; L. Wendlinger; J. G. Lambsdorff; M. Granitzer; J. Mitrović,2025,2025 IEEE 37th International Conference on Tools with Artificial Intelligence (ICTAI),10.1109/ictai66417.2025.00049,"Grades deliver important quantitative feedback on student learning, but grading can be time-consuming for large student cohorts. Recent advances in large language models (LLMs) offer promising opportunities for automating this process. Still, a systematic examination of different models and prompting paradigms remains lacking. To fill this gap, we compare the performance of 23 closed-source and open-source LLMs, testing the best-performing six across five different prompt paradigms including zero-shot, pre-written sample solutions with an integrated grading rubric, few-shot examples, and retrievalaugmented generation (RAG) based on textbook excerpts. We hence investigate the extent to which external information is necessary for reliable grading outcomes. As a benchmark, we include four fine-tuned encoder models. Our study focuses on German-language undergraduate economics courses, using an open macroeconomics (Macro) and a novel institutional economics (Insti) dataset graded by three human examiners. LLMhuman agreement reaches Quadratic Weighted Kappas of up to 0.811 for Macro and 0.687 for Insti, with the best LLM-prompt combinations nearing fine-tuned encoder model performance for Macro. Providing a sample solution with a grading rubric emerges as a crucial prompting feature, as it enables near-human performance even in zero-shot setups, particularly for easier-to-grade answers. Adding few-shot examples further improves grading for difficult answers. Few-shot examples without a sample solution, RAG, or relying solely on LLMs' inherent knowledge, on the other hand, perform significantly worse. © 2025 IEEE.",Automated Short Answer Grading; Encoders; Higher Education; Large Language Models; Prompt Paradigms; Curricula; Economics; Education computing; Open systems; Signal encoding; Students; Automated short answer grading; Comparatives studies; Encoder; Grading rubrics; High educations; Institutional economics; Language model; Large language model; Prompt paradigm; Sample solution; Grading,,ieee; scopus,False,overlap_2025,False,2,high,grading-focused (title) + edu,consistency,,
RUBRA: An Agentic AI System for Automatic Short Answer Grading Using LLMs and RAG,S. Haldar; S. Sengupta; A. K. Das,2025,"2025 International Conference on Computing, Intelligence, and Application (CIACON)",10.1109/ciacon65473.2025.11189329,"The proliferation of deep Learning applications in natural language processing has facilitated automated evaluation of short-answer questions, providing more transparent, interpretable and unbiased evaluation of students' responses. In this work, we introduce RUBRA, an agentic AI system for Automatic Short Answer Grading (ASAG) using Large Language Models (LLM) and Retrieval-Augmented Generation (RAG) techniques. The system incorporates domain-specific context information retrieved from textbooks and study materials through a RAG framework and a dynamically generated rubric from reference answers provided by human tutors. Then, by aligning student responses with the rubric via semantic similarity scoring, the system computes an explainable and fair grade and provides transparent feedback to the learner. We discuss the architecture, components, and potential effectiveness of the proposed agentic AI system and tested our results over the SCIENTSBANK dataset. It is observed that the proposed approach not only outperformed the existing approaches in prediction accuracy but also significantly improved the autonomy and adaptability of the system. © 2025 IEEE.",Agentic AI; ASAG; LLM; NLP; RAG; Computation theory; Computer aided instruction; Deep learning; Education computing; Engineering education; Grading; Learning systems; Natural language processing systems; Students; Agentic AI; AI systems; Automated evaluation; Automatic short answer grading; Language model; Language processing; Large language model; Natural languages; Retrieval-augmented generation; Student response; Semantics,,ieee; scopus,False,overlap_2025,False,2,high,grading-focused (title) + edu [data:SciEntsBank],dataset-specific,,SciEntsBank
Enhancing Automatic Grading of SQL Query Assignments Using Generative AI : A Case Study on SPJ Query Assignment,Y. Tsuboi; T. Kakeshita,2025,2025 10th International Conference on Intelligent Informatics and Biomedical Sciences (ICIIBMS),10.1109/iciibms66230.2025.11316731,"The grading of SQL query assignments is a time-consuming task for instructors, especially in large classes where ensuring both accuracy and consistency is difficult. To address this issue, we developed and evaluated an automatic grading tool for SQL query design using generative AI in this paper. The system targets SPJ (Selection, Projection, Join) query tasks from the Information Systems Experiment course. By incorporating model answers, lecture materials, and common student errors into carefully designed prompts, the tool aimed to improve grading accuracy and feedback quality. Comparative experiments were conducted with different prompt configurations as well as with an existing rubric-based tool developed by Ando et al. The results demonstrated that the optimized GPT-based prompt design achieved 96.8% accuracy (387 out of 400 items correctly graded), while also providing detailed feedback that specified “what was wrong,” “why,” and “how to fix it.” This feedback was found to support student learning and reduce grading inconsistencies for instructors. The findings confirm the potential of GPT-based systems as effective complements to existing rubric-based methods. This research highlights the promise of generative AI in delivering scalable, fair, and pedagogically meaningful assessments in database education. ©2025 IEEE.",automatic grading; educational technology; Generative AI; GPT; prompt engineering; SQL query design; Artificial intelligence; Curricula; Engineering education; Feedback; Grading; Information systems; Query languages; Query processing; Search engines; Students; Teaching; Automatic grading; Case-studies; Generative AI; GPT; Prompt engineering; Query tasks; SQL query; SQL query design; Targets selection; Time-consuming tasks; Educational technology,,ieee; scopus,False,overlap_2025,False,2,high,grading-focused (title) + edu,consistency,,
A Comparative Study of Automated Grading on Programming Assignments Based on LLMs,Lin W.-J.; Weng H.-L.; Zhang Y.-G.,2025,"ICCE-Taiwan 2025 - 12th IEEE International Conference on Consumer Electronics - Taiwan: Generative AI in Innovative Consumer Technology, Proceedings",10.1109/icce-taiwan66881.2025.11208057,"Programming is a required course for undergraduate students in many fields, and instructors face the challenge of assessing a large amount of assignments each week, making it difficult to provide timely feedback to students. To address this issue, numerous studies have proposed to grade programming assignments in an automatic way. This paper applies three widely used large language models, Gemini, Mistral, and ChatGPT, to grade programming assignments and evaluates their performances. The results not only show the strengths/weakness of applying LLM, compared to traditional approaches, in automatic grading, but also presents the differences among the LLMs. © 2025 IEEE.",automatic grading; ChatGPT; Gemini; large language models (LLM); Mistral; programming assignments; timly feedback; Curricula; Feedback; Students; Automated grading; Automatic grading; ChatGPT; Comparatives studies; Geminus; Language model; Large language model; Mistral; Programming assignments; Timly feedback; Grading,,ieee; scopus,False,overlap_2025,False,2,high,grading-focused (title) + edu,code,,
WIP: CodeInspector: Automated LLM-Supported CS1-Level Code Assessment,E. Imhmed; E. Ceh-Varela; L. Scherer; G. Candal; I. Sanjaya,2025,"Proceedings - Frontiers in Education Conference, FIE",10.1109/fie63693.2025.11328429,"This research-to-practice WIP paper presents CodeInspector - an automated assessment system for CS1-level Java assignments. Designed for scalability and modularity, CodeInspector streamlines and standardizes code assessment, promoting a more equitable learning environment. Our preliminary findings suggest that CodeInspector is promising. It reduces instructors' assessment workload while providing students with immediate, formative feedback that supports an iterative learning process. Additionally, CodeInspector offers students insights into their performance through error-weighted densities benchmarked against class-wide averages. © 2025 IEEE.",automated assessment; code quality; feedback; large language models; software testing and automation; Automation; Codes (symbols); Computer aided instruction; E-learning; Learning systems; Students; Assessment system; Automated assessment; Code quality; Formative feedbacks; Iterative learning process; Language model; Large language model; Learning environments; Software automation; Software testings; Software testing,,ieee; scopus,False,overlap_2025,False,2,med,grading+edu in abstract; grading not central / no benchmark,code,,
AI-Driven Evaluation of SQL Tests: A Generative Large Language Model Approach,M. Kubovčík; I. D. Luptáková; J. Pospíchal,2025,2025 International Conference on Emerging eLearning Technologies and Applications (ICETA),10.1109/iceta67772.2025.11280179,"Artificial intelligence is increasingly being integrated into educational processes, making automated evaluation a critical element of modern teaching. One important area of application is the assessment of SQL tests, where both the syntactic correctness and logical validity of queries must be considered. When evaluating SQL tasks, it is essential to combine multiple levels of assessment, ranging from basic syntax checks to advanced evaluations of query logic and semantics. The proposed system enables the automated analysis of student responses, evaluation of correctness, and provision of personalized feedback with explanations of errors. The methodology is based on advanced open-source generative language models that can understand complex SQL commands and assign scores according to predefined criteria. The emphasis is placed on accuracy, reliability, and transparency of evaluation, while enabling a detailed comparison between teacher assessment and AI-based assessment. The modularity of the system allows for adaptation to different evaluation tasks and educational contexts. Experimental deployment in real teaching conditions provides an opportunity to measure the system’s impact on educational quality, assessment efficiency, and user satisfaction. The results provide a comprehensive analysis of how generative AI models can enhance traditional evaluation methods in SQL education.",generative artificial intelligence;SQL language;automated test assessment;large language models;natural language processing;explainable artificial intelligence; Structured Query Language;Adaptation models;Accuracy;Generative AI;Large language models;Education;Semantics;Syntactics;Quality assessment;Reliability,,ieee,False,overlap_2025,False,1,med,grading+edu in abstract; grading not central / no benchmark,consistency,,
