"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Mahmood S.A.","Mahmood, Salma Abdulbaki (57195276769)","57195276769","Optimizing architectural-feature tradeoffs in Arabic automatic short answer grading: comparative analysis of fine-tuned AraBERTv2 models","2025","Frontiers in Computer Science","7","","1683272","","","0","10.3389/fcomp.2025.1683272","https://www.scopus.com/pages/publications/105020586406?origin=resultslist","Automated essay evaluation systems represent a contemporary solution to the challenges presented by technological advancements in education, offering high accuracy in assessment while reducing reliance on human resources. This makes them essential in light of the growing demand for fast and reliable evaluation systems. However, a critical concern remains regarding the precision of these systems in their assessments and their ability to generalize in environments where large datasets are not readily available. This research aims to examine the generalizability of Automated Short Answer Grading (ASAG) systems under different training conditions, including unannotated data and annotated data. Through a comprehensive comparative methodology, the study evaluates the performance of precisely fine-tuned AraBERTv2 models integrated with three neural network architectures: Multilayer Perceptron (MLP), Convolutional Neural Network (CNN), and Long Short-Term Memory (LSTM), while testing them with varying numbers of features (2, 3, 4) using the AS-ARSG dataset. The primary goal is to explore the models' generalizability when incomplete data is available (unannotated or partially annotated) and to develop a flexible framework that reduces dependence on human assessment while maintaining grading quality. The results confirm that the two-feature MLP model outperformed all others by achieving the best performance with less error and high correlation values (MAE = 1.31, Spearman's coefficient = 0.808). In contrast, performance degradation was noted with the increasing number of features, especially in LSTM models. Through this approach, the research contributes to developing Arabic ASAG systems capable of adapting to limited data scenarios, thereby enhancing their efficiency and practical applicability. Copyright © 2025 Mahmood.","AraBERT; Arabic natural language processing; Automated Short Answer Grading (ASAG); educational assessment; large language model (LLMs); neural network","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105020586406"
"Dubey P.K.; Crevar A.R.","Dubey, Praveen Kumar (59194009500); Crevar, Angela R. (58546421700)","59194009500; 58546421700","Integrating artificial intelligence in higher education: Enhancing pedagogy, instruction, and administration","2025","AI Integration Into Andragogical Education","","","","181","208","3","10.4018/979-8-3373-0502-8.ch008","https://www.scopus.com/pages/publications/105002361751?origin=resultslist","This chapter explores the integration of Artificial Intelligence (AI) in higher education with an emphasis on pedagogy, instruction, and administration for student learning and achievement. The paradigm shift moved the focus from teacher-centered to learner-centered systems involving AI-powered tools for personalized learning systems such as intelligent tutoring, adaptive learning systems, natural language processing (NLP), machine learning (ML), robotics, automated grading, and feedback to offer enhanced learning opportunities for teaching and learning. However, the AI technological transformation presented challenges in the form of ethical considerations, algorithm biases, curriculum development, lack of infrastructure, and accessibility issues. The chapter discusses the history and evolution of AI, AI technologies in higher education, enhancing pedagogy with AI in higher education, faculty support, and administrative efficiency. Additionally, it addresses the ethical considerations and future trends for AI adoption in higher education. © 2025 by IGI Global Scientific Publishing. All rights reserved.","","Computer aided instruction; Curricula; Education computing; Engineering education; Ethical technology; Federated learning; Learning algorithms; Learning systems; Machine learning; Natural language processing systems; Teaching; Adaptive learning systems; Ethical considerations; High educations; Intelligent tutoring; Learner-centred; Paradigm shifts; Personalized learning systems; Student achievement; Student learning; Teachers'; Grading","Book chapter","Final","","Scopus","2-s2.0-105002361751"
"Huang X.","Huang, Xiaoyan (60645616300)","60645616300","Generative AI-Enabled Automated Scoring Algorithms for College English Teaching","2026","Ingegneria Sismica","43","2","","","","0","10.65102/is2026776","https://www.scopus.com/pages/publications/105039796452?origin=resultslist","Automated Scoring of college-English courses has gradually shifted from single-item essay evaluation to an overall evaluation system for Writing, Speaking, Translation, Reading Response, etc. Propose an automatic grading system based on generative artificial intelligence for multiple task-based college English courses. Combining task-conditioned language representation, rubric-aware generative reasoning, trait-level score fusion, ordinal score constraints, calibration correction, and uncertainty-based routing in the algorithm for human review. Organized a collection of 18,420 college English Responses from the following four instruction task types: 6,240 writing Samples, 4,180 Speaking Samples, 3,620 Translation Samples, and 4,380 Reading-Response Samples. For each of them, two trained raters scored according to the analytic rubric; their adjudicated labels were used for training and testing the scoring model. In the experiment, compared GAEAS with SVR, BiLSTM, BERT, T5, and GPT-4scoring in the same data split, scale of scores, and test criterion. In terms of all tasks, GAEAS achieved an approximation of the median QUCKW1=0. 903 and averaged a Pearson's Correlation Coefficient close to 0. 923; For the average value, it is roughly within the range of-47dBto~5dBandtheRMSEisappoximately±_QEUZS=-5%. GAEAS outperformed GPT-4o in terms of QWK score, achieved a reduction in RMSE and improved generalization performance (ECE) compared to the baseline; Inference time was reduced to 96ms per example. According to the score-band heatmap, most of these task-profanity combinations had a diagonal agreement rate in the range of 72%-84%. Through ablation experiments, it was confirmed that when using the combinations of ordinal loss, trait fusion, rubric verification and uncertainty routing simultaneously would yield optimal results. Further revealing through a three-dimensional hyperparameter response Surface shows that the prior-rubric weighing and calibration weights need to be changed together; The weakest validation Q-κ values are around 0.64 and 0.36, respectively. According to the results, it was found that with proper management of both Generative AI Scoring stability in College English Teaching Rubric Structure, Score Ordering Calibration and Human Review can all work together. The research also presents various results, including score-band alignment, component-level ablations, error-source distribution, and deployment trade-off situations of the algorithm to provide teaching tools instead of isolated models. According to the outcomes, automatic grading in college English needs to consider three dimensions: agreement, error magnitude, calibration costs, and post-evaluation expenses comprehensively. On the basis of this, a particular way for quick feedback along with teacher oversight remains as an option for some courses. Reproducibility of the protocol using fixed data splits and figure-level metric tables. This experiment is presented as a classroom-based empirical study rather than a review assertion; it uses the same held-out test set, fixes baselines, performs an explicit score-band analysis, and simulates a review threshold. © 2026, Medinlin Soft. All rights reserved.","automated scoring; calibration; college English teaching; Generative artificial intelligence; rubric-aware assessment; uncertainty routing","Artificial intelligence; Correlation methods; Curricula; E-learning; Grading; Students; Teaching; Translation (languages); Weighing; Automated scoring; Automatic grading; College English; College english teachings; Generative artificial intelligence; Routings; Rubric-aware assessment; Scoring algorithms; Uncertainty; Uncertainty routing; Calibration","Article","Final","","Scopus","2-s2.0-105039796452"
"Brănoaea G.C.","Brănoaea, Gabriela Cristina (60633110300)","60633110300","Optimization of Symbolic Digital Assessment: A Parametric Approach Using STACK in Mathematics Education","2026","Lecture Notes in Networks and Systems","1812 LNNS","","","164","176","0","10.1007/978-3-032-17033-0_11","https://www.scopus.com/pages/publications/105038869381?origin=resultslist","This study introduces the Intelligent Support System (ISS), an integrated digital framework for digital mathematics assessment, leveraging symbolic computation, modular parametric modeling, and cognitive feedback integration via the STACK plugin on Moodle. The system automates item generation, enables real-time symbolic validation, and offers adaptive, brain-aligned feedback loops. A quasi-experimental study in Romanian secondary education demonstrated a 25.6% improvement in conceptual understanding and a 75% reduction in teacher grading workload. These findings substantiate the interdisciplinary value of integrating symbolic logic, automated process control, and neurodidactic design in scalable educational systems. By embedding engineering principles into didactic design, ISS contributes a replicable, scalable, and cognitively aligned model for next-generation STEM assessment [1, 2, 3–4]. Statistical results confirm a large effect size (Cohen’s d = 1.12, p < 0.001), supporting the system’s effectiveness in optimizing both performance and feedback efficiency. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.","68 N01; 68 T05; 97B10.; 97C30; 97 U70; Adaptive Feedback; ISS; Moodle; Neurodidactics; Parametric Assessment; STACK","Digital integrated circuits; Feedback; Optimization; Statistics; Teaching; 68 n01; 68 t05; 97 u70; 97b10.; 97c30; Adaptive feedback; Intelligent support; Intelligent support system; Moodle; Neurodidactic; Parametric assessment; STACK; Support systems; Artificial intelligence","Conference paper","Final","","Scopus","2-s2.0-105038869381"
"Lai P.; Zhang K.; Wang Y.; Cui B.","Lai, Peichao (57985522100); Zhang, Kexuan (59925903700); Wang, Yilei (57222133775); Cui, Bin (57211734542)","57985522100; 59925903700; 57222133775; 57211734542","Improving Low-Resource Short Answer Scoring Through Large Language Model-Based Data Augmentation","2026","IEEE Transactions on Knowledge and Data Engineering","38","5","","2914","2926","0","10.1109/TKDE.2026.3673734","https://www.scopus.com/pages/publications/105032787410?origin=resultslist","The automated grading of subjective answers is crucial for reducing manual workload and enhancing feedback efficiency in online education, particularly for short answer scoring (SAS). However, in scenarios with limited labeled data, existing methods face challenges in sample diversity and scoring consistency due to limited training data and misaligned label distributions. While data augmentation and transfer learning have been employed to address these issues, rule-based approaches often lack textual variability, and general-domain embeddings struggle to align with domain-specific scoring criteria. To overcome these limitations, we propose the Scoring with Contextual Alignment and Language Enhancement (SCALE) framework, a novel LLM-driven training paradigm that synthesizes diverse responses while preserving scoring consistency. SCALE leverages a knowledge graph-based generation strategy to enhance sample diversity by substituting key phrases with contextually aligned alternatives and employs a style rewrite prompt to introduce linguistic variations. To mitigate label inconsistency, we introduce a polish align prompt that refines synthetic and real samples into a shared semantic subspace, training an annotator model for aligned scoring. Additionally, an entity-aware enhancement mechanism improves comprehension of formulas and quantitative content. Extensive experiments on multilingual and multi-domain datasets demonstrate that SCALE achieves state-of-the-art performance, improving Pearson scores by 4.9%, 2.27%, and 1.34% over BERT, RoBERTa, and ERNIE 3.0, respectively.  © 1989-2012 IEEE.","few-shot learning; knowledge graph-based data augmentation; semantic alignment; Short answer scoring","Alignment; Computational linguistics; Data consistency; E-learning; Grading; Knowledge management; Labeled data; Large datasets; Learning systems; Semantics; Transfer learning; Automated grading; Data augmentation; Few-shot learning; Graph-based; Knowledge graph-based data augmentation; Knowledge graphs; Language model; Model-based OPC; Semantic alignments; Short answer scoring; Graphic methods","Article","Final","","Scopus","2-s2.0-105032787410"
"Sarkar S.; Jayadevan R.; Sharma N.; Pandey M.","Sarkar, Sujit (59702761500); Jayadevan, R. (23985276900); Sharma, Neha (57194694802); Pandey, Mrityunjoy (59702779500)","59702761500; 23985276900; 57194694802; 59702779500","Enhancing Handwritten Answer Sheet Evaluation Through Large Language Models and Multi-Agent Reasoning","2025","2025 IEEE Pune Section International Conference, PuneCon 2025","","","","","","0","10.1109/PuneCon67554.2025.11379082","https://www.scopus.com/pages/publications/105034646443?origin=resultslist","Accurate and timely evaluation of handwritten exam answer sheets remains a major challenge in educational institutions, especially for large-scale assessments. Manual grading is time-consuming, prone to inconsistencies, and often leads to delayed feedback for students. Although OCR-based grading systems exist, their accuracy is often insufficient for realworld deployment due to handwritten script variability. Recent advances in artificial intelligence, particularly large language models (LLMs), offer promising solutions to this problem. This paper presents an automated grading system that combines image preprocessing, advanced OCR, and LLM-based evaluation. Gemini Flash Thinking is employed for OCR, achieving up to 98% character-level accuracy on a benchmark of 100 answer scripts. Each extracted answer block is mapped to its respective question using a likelihood-based merge sort prompt augmented with semantic entailment scoring. This ensures contextual accuracy in matching even for incomplete or misaligned responses. Following mapping, a multi-agentic evaluation strategy is introduced using simulated professor agents for collaborative grading. These agents assess content relevance, coverage, and structure, while providing constructive feedback and rubricbased scoring. The proposed pipeline significantly reduces human intervention while maintaining grading consistency and fairness. It offers a scalable, explainable, and institution-ready solution for automated subjective answer evaluation. © 2025 IEEE.","Automated Grading System; Gemini API; Large Language Models (LLMs); Multi-Agent Systems; Optical Character Recognition (OCR); Semantic Answer Evaluation; Zero-Shot OCR Prompting","Automation; Computational linguistics; Grading; Intelligent agents; Optical character recognition; Semantics; Automated grading systems; Geminus API; Language model; Large language model; Multiagent systems (MASs); Optical character recognition; Optical-; Semantic answer evaluation; Zero-shot optical character recognition prompting; Multi agent systems","Conference paper","Final","","Scopus","2-s2.0-105034646443"
"Pang Q.; Zhang L.; Copus B.; Du S.","Pang, Qixiang (59247706000); Zhang, Linrui (58308803500); Copus, Belinda (58308583500); Du, Shan (13608588500)","59247706000; 58308803500; 58308583500; 13608588500","A Preliminary Empirical Study of Large Language Models for Grading Debugging Problems in Programming Education","2026","Proceedings of the International Florida Artificial Intelligence Research Society Conference, FLAIRS","39","1","","","","0","10.32473/flairs.39.1.141603","https://www.scopus.com/pages/publications/105040163189?origin=resultslist","Debugging problems are essential for assessing code semantic understanding, yet grading these heterogeneous responses is labor-intensive and prone to inconsistency. This poster presents a preliminary empirical study evaluating five Large Language Models (LLMs)—ChatGPT, Claude, Gemini, Grok, and DeepSeek—as automated grading assistants. Using authentic student submissions from two university Python courses, we compare LLM performance against rubric-based human benchmarks using Mean Absolute Error (MAE), Root Mean Squared Error (RMSE), and Pearson correlation. Results show all models achieve strong correlation (γ > 0.90), indicating reliable preservation of student rankings. While variance in partially correct solutions persists, the findings suggest LLMs are effective for preliminary scoring and triage, provided human oversight is maintained to mitigate occasional grading deviations. © 2026, Florida Online Journals, University of Florida. All rights reserved.","","Benchmarking; Computer debugging; Correlation methods; Education computing; Grading; Program debugging; Students; Automated grading; Code semantics; Empirical studies; Labour-intensive; Language model; Mean absolute error; Modeling performance; Programming education; Root mean squared errors; Semantics understanding; Mean square error","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105040163189"
"Nampoothiri A.N.; Thushara M.G.; Pradeesh N.; Anand Krishna K.R.; Santhosh A.; Abhijith Kumar S.; Kumar S.","Nampoothiri, Abhijith. N. (59788447500); Thushara, M.G. (57191369517); Pradeesh, N. (57200940932); Anand Krishna, K.R. (59789621800); Santhosh, Abhai (59790796900); Abhijith Kumar, S. (59793181900); Kumar, Suryan (59789621900)","59788447500; 57191369517; 57200940932; 59789621800; 59790796900; 59793181900; 59789621900","The Impact of Transformer Models and Regression Algorithms on Automated Short Answer Grading","2025","2025 5th International Conference on Advances in Electrical, Computing, Communication and Sustainable Technologies, ICAECT 2025","","","","","","4","10.1109/ICAECT63952.2025.10958915","https://www.scopus.com/pages/publications/105004552431?origin=resultslist","Grading short answer questions in higher education often poses significant challenges due to its subjective nature and time-consuming process. As educational institutions expand, the need for efficient and objective grading solutions becomes critical. This paper investigates the use of machine learning and natural language processing to automate the evaluation of short answer responses. Our study employs a two-phase methodology: first, several transformer models - including BERT, Sentence-BERT, T5, Genism, and XLNet - are used to transform text into numerical representations. In the second phase, various regression techniques, such as Linear Regression, Support Vector Machine (SVM), Random Forest, and AdaBoost, are applied to these representations to estimate scores. Our findings indicate that the combination of the BERT model with Random Forest performs the best, demonstrating superior accuracy with the lowest error metrics. This optimal model pairing is proposed for integration into the Ample Learning Management System (LMS) to enhance grading efficiency and provide quicker, more reliable feedback. The significant implications of this research provides teachers with a robust tool for automated grading, which can enhance the educational experience by delivering timely and accurate evaluations.  © 2025 IEEE.","Automatic Assessment; Education; Machine Learning(ML); Natural Language Processing(NLP)","Computational grammars; Curricula; Demonstrations; Distance education; Engineering education; Linear regression; Natural language processing systems; Personnel training; Random forests; Students; Support vector machines; Automatic assessment; High educations; Language processing; Machine-learning; Model algorithms; Natural language processing; Natural languages; Random forests; Regression algorithms; Transformer modeling; Teaching","Conference paper","Final","","Scopus","2-s2.0-105004552431"
"Ahmed J.; Jaffar S.A.; Ahmed T.; Krishnanjaneyulu P.","Ahmed, Jeelani (57211338372); Jaffar, Shaikh Abdul (60199953400); Ahmed, Taufeeq (60200266300); Krishnanjaneyulu, Payala (60199953500)","57211338372; 60199953400; 60200266300; 60199953500","Scalable and Fair Grading Using AI for Automated Assessments","2026","Lecture Notes in Networks and Systems","1600 LNNS","","","405","417","0","10.1007/978-3-032-03072-6_32","https://www.scopus.com/pages/publications/105022148767?origin=resultslist","Artificial Intelligence (AI) has transformed educational assessment processes by automating grading at scale. Still, there are problems with equity, bias, and large-scope assessment grading. This paper describes a framework for automated grading using AI with Natural Language Processing (NLP) and deep learning to ensure scalability and fairness simultaneously. The system processes multiple question types, from multiple-choice through short answer to essay questions, and uses fairness-aware algorithms to control bias. The experimental tests on a large dataset of students’ responses showed that the AI model performed with 92.5% accuracy and claimed human-like grading precision. Tests on scalability confirm that the assessments are completed five times quicker than the conventional human grading done to one person, thus, making it acceptable for big educational institutions. Moreover, AI fairness tests demonstrated unprecedented 35% bias reduction for grading over alternative methods. All these helps illustrate servable efficiency estimates that AI being able to help reduce educators’ workload exponentially while achieving fair grading results. The next steps for the research plan will aim to make the system more flexible to subjective grading and embed explainability features for trustable transparent AI. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.","Artificial Intelligence; Automated Assessment; Natural Language Processing","Automation; Deep learning; Large datasets; Learning algorithms; Scalability; Statistical tests; Assessment process; Automated assessment; Automated grading; Automating grading; Educational assessment; IS problems; Language processing; Natural language processing; Natural languages; System process; Grading","Conference paper","Final","","Scopus","2-s2.0-105022148767"
"Makhmudova D.M.; Sharipova X.R.; Hojiyev N.K.; Ergashev A.E.; Satvaldieva Y.Kh.; Mamatkulova K.U.; Khudoynazarov E.M.","Makhmudova, Dilfuza M. (59179960200); Sharipova, Xilola R. (60065918200); Hojiyev, Nosirjon K. (60066211000); Ergashev, Azamat E. (59304767700); Satvaldieva, Yulduzknon Kh. (60066139600); Mamatkulova, Khosiyat U. (60066067200); Khudoynazarov, Egambergan M. (59505106100)","59179960200; 60065918200; 60066211000; 59304767700; 60066139600; 60066067200; 59505106100","Ethical and Legal Challenges of Implementing AI in Science and Math Education in Central Asia","2025","Qubahan Academic Journal","5","3","","294","326","1","10.48161/qaj.v5n3a2053","https://www.scopus.com/pages/publications/105014113444?origin=resultslist","This study aims to examine the ethical and legal challenges associated with the integration of Artificial Intelligence in Education (AIEd), focusing on science and mathematics teachers across Central Asia, particularly in Kazakhstan, Kyrgyzstan, and Tajikistan. A mixed-methods approach was employed. Quantitative data were collected through a structured survey from N = 341 educators, stratified by country, gender, age, and AI usage experience. The survey assessed perceptions of legal and ethical issues using a five-point Likert scale. Statistical analysis included ANOVA, Pearson correlation, and effect size calculations (Cohen’s d). Findings revealed statistically significant differences in ethical awareness levels across countries (p < .01), with Kazakhstan showing the highest average score (M = 4.12, SD = 0.67) on AI-related ethical literacy. The effect size was moderate (Cohen’s d = 0.54) when comparing gender-based ethical concerns. Additionally, 64% of respondents expressed serious concerns about student data privacy, while 71% supported the need for formal AI ethics training. Qualitative interviews (N = 18) uncovered recurring themes such as lack of legal frameworks, teacher autonomy dilemmas, and algorithmic bias in grading systems. The study highlights a critical need for policy interventions and professional development targeting ethical and legal dimensions of AIEd in post-Soviet education systems. Findings underscore the urgency of developing culturally responsive guidelines to safeguard equity, transparency, and trust in AI-driven pedagogical environments. These results contribute to the global discourse on AI in education and offer evidence-based insights for local policymakers. © 2025, Qubahan. All rights reserved.","Artificial Intelligence in Education; Central Asia; Ethical Challenges; Legal Frameworks; Science and Mathematics Pedagogy","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105014113444"
